rating,summary,tag,title,url,wma
4,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,recipe,Sam's Spring Fattoush Salad,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad,100%
4,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,recipe,Skirt Steak with Spicy Coconut Dressing,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing,100%
4,"These quick pickles have just the right amount of sweet, salt, and tang going on. The brine can work with any crunchy veg, but we like them best with cucumbers. We guarantee they'll be the sleeper hit of your next party spread.",recipe,Spicy Lightly Pickled Cucumbers,/recipes/food/views/spicy-lightly-pickled-cucumbers,100%
4,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.",recipe,Cucumbers with Ajo Blanco Sauce,/recipes/food/views/cucumbers-with-ajo-blanco-sauce,100%
2,"Beef tenderloin is precious enough to baby on a two-zone grill: Sear it over high heat, then transfer it to the cooler side and turn it often to hit a perfect medium-rare.",recipe,Cold Beef Tenderloin with Tomatoes and Cucumbers,/recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers,0%
3,"Take your cast-iron pan to the grill for this classically flavored crispy fish sandwich recipe (or, if you don’t have a grill, fire up the stove—the breeze won’t be the same, but the sandwich will still be delicious).",recipe,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,/recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce,100%
3,We call for semi-pearled grains because they cook more quickly and have a roughened-up texture that helps them soak up the dressing. Browning them first deepens their flavor.,recipe,Grain Salad with Tomatoes and Cucumbers,/recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers,100%
2,Go hard when charring the cabbage wedges—to the point you might think you did something wrong. They are dense and resilient and need a long time on the grill to soften.,recipe,Charred Cabbage with Goat Cheese Raita and Cucumbers,/recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers,0%
0,A ginger and coconut aminos dressing brings together this healthful salad of crunchy cucumbers and toothsome seaweed.,recipe,Cucumber-Seaweed Salad,/recipes/food/views/cucumber-seaweed-salad,0%
3.5,Quickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.,recipe,Pineapple Shrimp Noodle Bowls,/recipes/food/views/pineapple-shrimp-noodle-bowls,73%
3.5,"The shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce.",recipe,Sambal Shrimp Lettuce Wraps,/recipes/food/views/sambal-shrimp-lettuce-wraps,50%
0,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.",recipe,Smashed Cucumber Salad with Lemon and Celery Salt,/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,0%
2.5,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",recipe,Thai-Style Squid and Cucumber Salad,/recipes/food/views/thai-style-squid-and-cucumber-salad,50%
4,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",recipe,Spicy Grilled Chicken with Crunchy Fennel Salad,/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad,100%
2.5,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",recipe,Lemon Salmon with Creamy Cucumber Salad,/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad,60%
0,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",recipe,Smashed Cucumber Salad with Hot Vinegar,/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar,0%
4,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,recipe,Sam's Spring Fattoush Salad,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad,100%
4,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,recipe,Skirt Steak with Spicy Coconut Dressing,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing,100%
4,"These quick pickles have just the right amount of sweet, salt, and tang going on. The brine can work with any crunchy veg, but we like them best with cucumbers. We guarantee they'll be the sleeper hit of your next party spread.",recipe,Spicy Lightly Pickled Cucumbers,/recipes/food/views/spicy-lightly-pickled-cucumbers,100%
4,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.",recipe,Cucumbers with Ajo Blanco Sauce,/recipes/food/views/cucumbers-with-ajo-blanco-sauce,100%
2,"Beef tenderloin is precious enough to baby on a two-zone grill: Sear it over high heat, then transfer it to the cooler side and turn it often to hit a perfect medium-rare.",recipe,Cold Beef Tenderloin with Tomatoes and Cucumbers,/recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers,0%
3,"Take your cast-iron pan to the grill for this classically flavored crispy fish sandwich recipe (or, if you don’t have a grill, fire up the stove—the breeze won’t be the same, but the sandwich will still be delicious).",recipe,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,/recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce,100%
3,We call for semi-pearled grains because they cook more quickly and have a roughened-up texture that helps them soak up the dressing. Browning them first deepens their flavor.,recipe,Grain Salad with Tomatoes and Cucumbers,/recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers,100%
2,Go hard when charring the cabbage wedges—to the point you might think you did something wrong. They are dense and resilient and need a long time on the grill to soften.,recipe,Charred Cabbage with Goat Cheese Raita and Cucumbers,/recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers,0%
0,A ginger and coconut aminos dressing brings together this healthful salad of crunchy cucumbers and toothsome seaweed.,recipe,Cucumber-Seaweed Salad,/recipes/food/views/cucumber-seaweed-salad,0%
3.5,Quickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.,recipe,Pineapple Shrimp Noodle Bowls,/recipes/food/views/pineapple-shrimp-noodle-bowls,73%
3.5,"The shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce.",recipe,Sambal Shrimp Lettuce Wraps,/recipes/food/views/sambal-shrimp-lettuce-wraps,50%
0,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.",recipe,Smashed Cucumber Salad with Lemon and Celery Salt,/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,0%
2.5,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",recipe,Thai-Style Squid and Cucumber Salad,/recipes/food/views/thai-style-squid-and-cucumber-salad,50%
4,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",recipe,Spicy Grilled Chicken with Crunchy Fennel Salad,/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad,100%
2.5,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",recipe,Lemon Salmon with Creamy Cucumber Salad,/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad,60%
0,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",recipe,Smashed Cucumber Salad with Hot Vinegar,/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar,0%
4,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,recipe,Sam's Spring Fattoush Salad,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad,100%
4,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,recipe,Skirt Steak with Spicy Coconut Dressing,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing,100%
4,"These quick pickles have just the right amount of sweet, salt, and tang going on. The brine can work with any crunchy veg, but we like them best with cucumbers. We guarantee they'll be the sleeper hit of your next party spread.",recipe,Spicy Lightly Pickled Cucumbers,/recipes/food/views/spicy-lightly-pickled-cucumbers,100%
4,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.",recipe,Cucumbers with Ajo Blanco Sauce,/recipes/food/views/cucumbers-with-ajo-blanco-sauce,100%
2,"Beef tenderloin is precious enough to baby on a two-zone grill: Sear it over high heat, then transfer it to the cooler side and turn it often to hit a perfect medium-rare.",recipe,Cold Beef Tenderloin with Tomatoes and Cucumbers,/recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers,0%
3,"Take your cast-iron pan to the grill for this classically flavored crispy fish sandwich recipe (or, if you don’t have a grill, fire up the stove—the breeze won’t be the same, but the sandwich will still be delicious).",recipe,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,/recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce,100%
3,We call for semi-pearled grains because they cook more quickly and have a roughened-up texture that helps them soak up the dressing. Browning them first deepens their flavor.,recipe,Grain Salad with Tomatoes and Cucumbers,/recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers,100%
2,Go hard when charring the cabbage wedges—to the point you might think you did something wrong. They are dense and resilient and need a long time on the grill to soften.,recipe,Charred Cabbage with Goat Cheese Raita and Cucumbers,/recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers,0%
0,A ginger and coconut aminos dressing brings together this healthful salad of crunchy cucumbers and toothsome seaweed.,recipe,Cucumber-Seaweed Salad,/recipes/food/views/cucumber-seaweed-salad,0%
3.5,Quickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.,recipe,Pineapple Shrimp Noodle Bowls,/recipes/food/views/pineapple-shrimp-noodle-bowls,73%
3.5,"The shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce.",recipe,Sambal Shrimp Lettuce Wraps,/recipes/food/views/sambal-shrimp-lettuce-wraps,50%
0,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.",recipe,Smashed Cucumber Salad with Lemon and Celery Salt,/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,0%
2.5,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",recipe,Thai-Style Squid and Cucumber Salad,/recipes/food/views/thai-style-squid-and-cucumber-salad,50%
4,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",recipe,Spicy Grilled Chicken with Crunchy Fennel Salad,/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad,100%
2.5,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",recipe,Lemon Salmon with Creamy Cucumber Salad,/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad,60%
0,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",recipe,Smashed Cucumber Salad with Hot Vinegar,/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar,0%
4,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,recipe,Sam's Spring Fattoush Salad,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad,100%
4,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,recipe,Skirt Steak with Spicy Coconut Dressing,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing,100%
